Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,Category,Sub-Category,Quantity,Discount,Sales,Profit
44,ORD-1044,2023-06-10,2023-06-15,Standard Class,CUST-1043,Rohan Sharma,Consumer,East,Furniture,Furnishings,4,0.0,1264.98,151.8
45,ORD-1045,2024-03-11,2024-03-18,Standard Class,CUST-1044,Sai Malhotra,Home Office,North,Furniture,Bookcases,5,0.0,2839.68,340.76
46,ORD-1046,2024-12-17,2024-12-21,Standard Class,CUST-1045,Aadhya Chopra,Consumer,North,Office Supplies,Art,6,0.15,45.69,7.31
47,ORD-1047,2024-08-13,2024-08-19,Standard Class,CUST-1046,Riya Nair,Home Office,West,Office Supplies,Art,11,0.0,1280.85,281.79
48,ORD-1048,2023-06-14,2023-06-18,Standard Class,CUST-1047,Kiara Verma,Corporate,East,Office Supplies,Art,6,0.2,103.39,14.47
49,ORD-1049,2024-02-28,2024-03-03,Second Class,CUST-1048,Reyansh Patel,Corporate,South,Office Supplies,Art,9,0.1,332.82,59.91
50,ORD-1050,2024-12-27,2024-12-29,First Class,CUST-1049,Vihaan Iyer,Consumer,East,Office Supplies,Binders,2,0.0,45.41,9.99
51,ORD-1051,2024-04-28,2024-04-30,First Class,CUST-1050,Aditya Patel,Consumer,East,Office Supplies,Labels,7,0.0,669.11,147.2
52,ORD-1052,2023-06-02,2023-06-04,First Class,CUST-1051,Reyansh Chopra,Consumer,South,Office Supplies,Labels,4,0.0,127.44,28.04
53,ORD-1053,2024-10-29,2024-10-31,First Class,CUST-1052,Kiara Verma,Home Office,South,Furniture,Bookcases,9,0.2,6992.72,279.71
54,ORD-1054,2023-09-29,2023-10-01,First Class,CUST-1053,Saanvi Reddy,Home Office,East,Office Supplies,Storage,11,0.0,1015.64,223.44
55,ORD-1055,2024-10-10,2024-10-15,Standard Class,CUST-1054,Vivaan Patel,Home Office,North,Furniture,Bookcases,6,0.1,2254.49,180.36
56,ORD-1056,2023-03-22,2023-03-28,Standard Class,CUST-1055,Kiara Joshi,Home Office,South,Office Supplies,Art,5,0.1,396.18,71.31
57,ORD-1057,2023-03-17,2023-03-23,Standard Class,CUST-1056,Rohan Singh,Corporate,South,Office Supplies,Art,7,0.0,120.86,26.59
58,ORD-1058,2024-11-05,2024-11-09,Second Class,CUST-1057,Rohan Malhotra,Home Office,North,Technology,Phones,4,0.1,3775.61,415.32
59,ORD-1059,2024-10-04,2024-10-10,Standard Class,CUST-1058,Rohan Reddy,Consumer,South,Office Supplies,Labels,12,0.2,316.87,44.36
60,ORD-1060,2023-06-18,2023-06-25,Standard Class,CUST-1059,Vihaan Iyer,Corporate,West,Office Supplies,Storage,2,0.15,221.84,35.49
61,ORD-1061,2023-01-15,2023-01-16,First Class,CUST-1060,Diya Verma,Corporate,North,Office Supplies,Storage,11,0.1,84.06,15.13
62,ORD-1062,2024-10-12,2024-10-18,Standard Class,CUST-1061,Vivaan Patel,Consumer,West,Office Supplies,Art,8,0.0,256.02,56.32
63,ORD-1063,2024-11-01,2024-11-07,Standard Class,CUST-1062,Kiara Iyer,Consumer,South,Office Supplies,Storage,4,0.1,63.73,11.47
64,ORD-1064,2023-10-10,2023-10-14,Standard Class,CUST-1063,Ira Sharma,Consumer,North,Technology,Copiers,1,0.1,225.61,24.82
65,ORD-1065,2024-08-23,2024-08-27,Standard Class,CUST-1064,Ishaan Rao,Corporate,West,Office Supplies,Paper,3,0.0,201.37,44.3
66,ORD-1066,2023-09-01,2023-09-05,Standard Class,CUST-1065,Aditya Iyer,Corporate,North,Office Supplies,Paper,8,0.1,496.81,89.43
67,ORD-1067,2024-04-14,2024-04-20,Standard Class,CUST-1066,Kiara Verma,Consumer,North,Technology,Copiers,2,0.1,451.98,49.72
68,ORD-1068,2024-04-09,2024-04-12,Second Class,CUST-1067,Navya Chopra,Home Office,South,Technology,Phones,4,0.2,2444.11,171.09
69,ORD-1069,2023-11-17,2023-11-21,Standard Class,CUST-1068,Aditya Rao,Corporate,East,Office Supplies,Paper,2,0.2,30.28,4.24
70,ORD-1070,2024-11-17,2024-11-19,Second Class,CUST-1069,Rohan Mehta,Home Office,South,Office Supplies,Art,5,0.15,341.22,54.6
71,ORD-1071,2024-07-23,2024-07-23,Same Day,CUST-1070,Ira Mehta,Home Office,West,Office Supplies,Art,11,0.2,82.92,11.61
72,ORD-1072,2023-10-07,2023-10-14,Standard Class,CUST-1071,Saanvi Verma,Consumer,South,Office Supplies,Binders,3,0.1,339.77,61.16
73,ORD-1073,2023-12-16,2023-12-18,First Class,CUST-1072,Arjun Gupta,Corporate,South,Office Supplies,Labels,10,0.0,143.82,31.64
74,ORD-1074,2023-04-27,2023-04-30,Second Class,CUST-1073,Vivaan Singh,Consumer,North,Office Supplies,Labels,7,0.3,71.98,7.2
75,ORD-1075,2023-12-02,2023-12-05,Second Class,CUST-1074,Anika Kumar,Consumer,South,Office Supplies,Paper,11,0.0,146.18,32.16
76,ORD-1076,2023-11-17,2023-11-21,Standard Class,CUST-1075,Ananya Gupta,Consumer,East,Technology,Copiers,10,0.0,5746.86,862.03
77,ORD-1077,2024-08-26,2024-08-28,Second Class,CUST-1076,Aditya Kumar,Consumer,North,Technology,Machines,11,0.0,14999.47,2249.92
78,ORD-1078,2023-05-30,2023-06-03,Second Class,CUST-1077,Myra Iyer,Consumer,North,Furniture,Chairs,10,0.1,6820.06,545.6
79,ORD-1079,2023-06-04,2023-06-08,Standard Class,CUST-1078,Aditya Patel,Corporate,South,Office Supplies,Storage,8,0.0,92.34,20.31
80,ORD-1080,2024-04-18,2024-04-19,First Class,CUST-1079,Reyansh Reddy,Consumer,West,Technology,Phones,10,0.0,1397.17,209.58
81,ORD-1081,2023-02-10,2023-02-16,Standard Class,CUST-1080,Rohan Nair,Corporate,South,Office Supplies,Labels,7,0.1,564.07,101.53
82,ORD-1082,2023-04-07,2023-04-12,Standard Class,CUST-1081,Riya Joshi,Home Office,South,Office Supplies,Labels,3,0.15,116.54,18.65
83,ORD-1083,2023-11-14,2023-11-16,First Class,CUST-1082,Anika Verma,Corporate,East,Office Supplies,Paper,11,0.0,698.24,153.61
84,ORD-1084,2023-07-16,2023-07-21,Standard Class,CUST-1083,Anika Sharma,Consumer,North,Furniture,Chairs,11,0.0,3917.61,470.11
85,ORD-1085,2024-03-24,2024-03-27,Second Class,CUST-1084,Kiara Singh,Corporate,South,Technology,Copiers,9,0.2,10044.87,703.14
86,ORD-1086,2024-01-27,2024-01-31,Standard Class,CUST-1085,Ishaan Sharma,Corporate,South,Furniture,Tables,11,0.15,4980.26,298.82
87,ORD-1087,2023-06-14,2023-06-16,First Class,CUST-1086,Kiara Desai,Consumer,West,Furniture,Furnishings,6,0.0,5057.92,606.95
88,ORD-1088,2023-08-18,2023-08-22,Standard Class,CUST-1087,Rohan Desai,Corporate,West,Technology,Machines,8,0.0,8584.22,1287.63
89,ORD-1089,2023-09-20,2023-09-27,Standard Class,CUST-1088,Rohan Verma,Consumer,North,Technology,Copiers,1,0.0,953.08,142.96
90,ORD-1090,2024-10-09,2024-10-13,Standard Class,CUST-1089,Riya Nair,Consumer,North,Furniture,Furnishings,3,0.0,1874.35,224.92
91,ORD-1091,2024-01-18,2024-01-22,Second Class,CUST-1090,Vihaan Malhotra,Consumer,North,Technology,Machines,10,0.1,1108.58,121.94
92,ORD-1092,2024-12-13,2024-12-20,Standard Class,CUST-1091,Reyansh Desai,Consumer,North,Furniture,Furnishings,1,0.2,318.46,12.74
93,ORD-1093,2024-10-24,2024-10-28,Second Class,CUST-1092,Aadhya Desai,Consumer,South,Technology,Machines,7,0.3,3889.74,116.69
94,ORD-1094,2024-06-15,2024-06-17,First Class,CUST-1093,Navya Patel,Corporate,North,Office Supplies,Art,6,0.0,256.26,56.38
95,ORD-1095,2023-12-26,2023-12-26,Same Day,CUST-1094,Vivaan Verma,Consumer,East,Technology,Copiers,11,0.15,12727.74,1145.5
96,ORD-1096,2023-02-05,2023-02-10,Standard Class,CUST-1095,Ira Gupta,Consumer,North,Office Supplies,Storage,11,0.0,524.27,115.34
97,ORD-1097,2024-02-12,2024-02-18,Standard Class,CUST-1096,Saanvi Desai,Corporate,North,Technology,Phones,9,0.0,9637.69,1445.65
98,ORD-1098,2023-07-24,2023-07-25,First Class,CUST-1097,Ananya Joshi,Home Office,West,Office Supplies,Art,6,0.0,409.5,90.09
99,ORD-1099,2024-01-06,2024-01-10,Standard Class,CUST-1098,Diya Kumar,Consumer,North,Furniture,Tables,10,0.1,3710.32,296.83
100,ORD-1100,2024-05-05,2024-05-10,Standard Class,CUST-1099,Aditya Iyer,Consumer,West,Technology,Phones,8,0.15,10108.04,909.72
101,ORD-1101,2024-06-14,2024-06-15,First Class,CUST-1100,Rohan Rao,Consumer,North,Office Supplies,Paper,2,0.0,156.06,34.33
102,ORD-1102,2023-06-07,2023-06-14,Standard Class,CUST-1101,Aarav Verma,Home Office,East,Technology,Machines,1,0.0,433.75,65.06
103,ORD-1103,2024-07-12,2024-07-18,Standard Class,CUST-1102,Vivaan Gupta,Consumer,West,Office Supplies,Art,8,0.0,467.29,102.8
104,ORD-1104,2024-02-13,2024-02-18,Standard Class,CUST-1103,Kiara Singh,Consumer,South,Office Supplies,Storage,3,0.1,111.67,20.1
105,ORD-1105,2024-04-23,2024-04-23,Same Day,CUST-1104,Reyansh Mehta,Consumer,South,Furniture,Furnishings,6,0.2,676.23,27.05
106,ORD-1106,2023-04-21,2023-04-27,Standard Class,CUST-1105,Riya Kumar,Consumer,West,Technology,Copiers,4,0.1,2367.6,260.44
107,ORD-1107,2024-02-08,2024-02-15,Standard Class,CUST-1106,Anika Nair,Corporate,West,Office Supplies,Storage,9,0.2,80.16,11.22
108,ORD-1108,2023-12-02,2023-12-08,Standard Class,CUST-1107,Ananya Kumar,Corporate,South,Office Supplies,Labels,9,0.2,731.83,102.46
109,ORD-1109,2024-03-02,2024-03-09,Standard Class,CUST-1108,Riya Mehta,Corporate,West,Technology,Phones,4,0.1,1153.3,126.86
110,ORD-1110,2023-02-02,2023-02-06,Standard Class,CUST-1109,Reyansh Nair,Consumer,East,Furniture,Furnishings,9,0.15,6149.53,368.97
111,ORD-1111,2024-06-15,2024-06-15,Same Day,CUST-1110,Kiara Desai,Consumer,South,Office Supplies,Labels,9,0.15,393.16,62.91
112,ORD-1112,2023-10-13,2023-10-17,Second Class,CUST-1111,Myra Reddy,Corporate,North,Technology,Machines,8,0.0,9626.7,1444.01
113,ORD-1113,2023-05-30,2023-06-03,Second Class,CUST-1112,Myra Singh,Home Office,South,Technology,Machines,4,0.0,3459.7,518.95
114,ORD-1114,2023-09-06,2023-09-13,Standard Class,CUST-1113,Myra Verma,Consumer,West,Furniture,Tables,11,0.3,7127.4,-0.0
115,ORD-1115,2023-10-22,2023-10-29,Standard Class,CUST-1114,Vivaan Desai,Corporate,East,Technology,Phones,3,0.0,4212.56,631.88
116,ORD-1116,2023-10-24,2023-10-30,Standard Class,CUST-1115,Kiara Joshi,Home Office,North,Office Supplies,Binders,9,0.1,936.42,168.56
117,ORD-1117,2023-12-05,2023-12-12,Standard Class,CUST-1116,Rohan Mehta,Consumer,South,Office Supplies,Paper,11,0.2,260.38,36.45
118,ORD-1118,2023-03-30,2023-04-03,Standard Class,CUST-1117,Ishaan Nair,Consumer,North,Technology,Copiers,4,0.1,2048.47,225.33
119,ORD-1119,2024-12-10,2024-12-15,Standard Class,CUST-1118,Rohan Chopra,Consumer,East,Office Supplies,Paper,2,0.0,226.35,49.8
120,ORD-1120,2024-04-10,2024-04-12,Second Class,CUST-1119,Reyansh Malhotra,Home Office,East,Office Supplies,Labels,4,0.1,285.25,51.34
121,ORD-1121,2024-06-01,2024-06-08,Standard Class,CUST-1120,Riya Iyer,Consumer,East,Furniture,Furnishings,2,0.0,1634.18,196.1
122,ORD-1122,2024-07-26,2024-07-30,Standard Class,CUST-1121,Reyansh Mehta,Consumer,West,Technology,Copiers,2,0.3,259.26,7.78
123,ORD-1123,2023-10-21,2023-10-22,First Class,CUST-1122,Kiara Rao,Consumer,West,Technology,Copiers,7,0.1,6855.18,754.07
124,ORD-1124,2024-07-04,2024-07-04,Same Day,CUST-1123,Kiara Joshi,Corporate,North,Technology,Phones,12,0.0,14926.47,2238.97
125,ORD-1125,2023-04-26,2023-05-03,Standard Class,CUST-1124,Ira Sharma,Consumer,East,Office Supplies,Binders,8,0.15,656.11,104.98
126,ORD-1126,2024-07-06,2024-07-07,First Class,CUST-1125,Riya Reddy,Consumer,West,Furniture,Bookcases,10,0.0,5702.92,684.35
127,ORD-1127,2024-02-28,2024-03-06,Standard Class,CUST-1126,Myra Sharma,Corporate,North,Technology,Accessories,6,0.0,7136.5,1070.47
128,ORD-1128,2023-11-04,2023-11-07,Second Class,CUST-1127,Kiara Desai,Consumer,West,Office Supplies,Paper,1,0.0,116.3,25.59
129,ORD-1129,2023-12-05,2023-12-06,First Class,CUST-1128,Vivaan Patel,Corporate,West,Technology,Phones,7,0.0,9217.25,1382.59
130,ORD-1130,2023-12-07,2023-12-13,Standard Class,CUST-1129,Myra Desai,Home Office,West,Furniture,Tables,4,0.0,2601.65,312.2
131,ORD-1131,2024-04-22,2024-04-27,Standard Class,CUST-1130,Myra Malhotra,Home Office,South,Office Supplies,Labels,6,0.1,277.21,49.9
132,ORD-1132,2023-01-17,2023-01-23,Standard Class,CUST-1131,Krishna Nair,Consumer,West,Office Supplies,Art,10,0.15,596.11,95.38
133,ORD-1133,2024-04-16,2024-04-17,First Class,CUST-1132,Vivaan Kumar,Consumer,West,Furniture,Furnishings,1,0.0,768.04,92.16
134,ORD-1134,2024-10-07,2024-10-11,Second Class,CUST-1133,Ira Desai,Consumer,East,Furniture,Furnishings,8,0.0,4964.91,595.79
135,ORD-1135,2023-01-18,2023-01-22,Standard Class,CUST-1134,Arjun Singh,Consumer,East,Office Supplies,Paper,4,0.15,129.99,20.8
136,ORD-1136,2024-04-15,2024-04-17,First Class,CUST-1135,Vivaan Verma,Corporate,West,Furniture,Chairs,7,0.0,2736.98,328.44
137,ORD-1137,2024-03-20,2024-03-21,First Class,CUST-1136,Krishna Singh,Home Office,South,Technology,Phones,12,0.0,1410.18,211.53
138,ORD-1138,2023-11-19,2023-11-24,Standard Class,CUST-1137,Riya Singh,Home Office,North,Furniture,Furnishings,10,0.0,7644.13,917.3
139,ORD-1139,2023-12-21,2023-12-25,Second Class,CUST-1138,Ira Nair,Corporate,South,Technology,Machines,6,0.1,8667.43,953.42
140,ORD-1140,2024-03-18,2024-03-24,Standard Class,CUST-1139,Aditya Verma,Consumer,East,Office Supplies,Labels,5,0.15,414.67,66.35
141,ORD-1141,2023-04-04,2023-04-08,Standard Class,CUST-1140,Aadhya Iyer,Consumer,South,Office Supplies,Storage,9,0.0,467.33,102.81
142,ORD-1142,2024-01-30,2024-02-05,Standard Class,CUST-1141,Saanvi Gupta,Corporate,South,Technology,Accessories,3,0.0,784.82,117.72
143,ORD-1143,2024-01-05,2024-01-11,Standard Class,CUST-1142,Arjun Patel,Corporate,North,Office Supplies,Labels,1,0.2,40.61,5.69
144,ORD-1144,2024-10-28,2024-11-03,Standard Class,CUST-1143,Saanvi Reddy,Consumer,North,Office Supplies,Paper,5,0.15,371.42,59.43
145,ORD-1145,2024-02-07,2024-02-14,Standard Class,CUST-1144,Kiara Chopra,Corporate,West,Furniture,Tables,4,0.2,1652.64,66.11
146,ORD-1146,2023-09-05,2023-09-05,Same Day,CUST-1145,Myra Mehta,Consumer,North,Office Supplies,Art,7,0.0,778.41,171.25
147,ORD-1147,2024-11-04,2024-11-07,Second Class,CUST-1146,Saanvi Malhotra,Home Office,North,Office Supplies,Labels,6,0.0,327.01,71.94
148,ORD-1148,2024-02-05,2024-02-11,Standard Class,CUST-1147,Vihaan Patel,Consumer,East,Office Supplies,Paper,7,0.15,99.43,15.91
149,ORD-1149,2024-06-17,2024-06-22,Standard Class,CUST-1148,Vihaan Sharma,Consumer,South,Office Supplies,Art,6,0.3,452.48,45.25
150,ORD-1150,2024-07-19,2024-07-22,Second Class,CUST-1149,Sai Joshi,Corporate,East,Technology,Accessories,11,0.0,10345.01,1551.75
151,ORD-1151,2024-12-22,2024-12-26,Second Class,CUST-1150,Navya Gupta,Corporate,North,Technology,Phones,6,0.2,2427.53,169.93
152,ORD-1152,2024-09-17,2024-09-19,First Class,CUST-1151,Rohan Desai,Corporate,North,Office Supplies,Art,10,0.0,822.93,181.04
153,ORD-1153,2024-12-11,2024-12-16,Standard Class,CUST-1152,Navya Chopra,Consumer,South,Office Supplies,Labels,11,0.0,274.14,60.31
154,ORD-1154,2024-09-26,2024-10-03,Standard Class,CUST-1153,Navya Kumar,Consumer,South,Furniture,Tables,11,0.2,5023.95,200.96
155,ORD-1155,2024-08-01,2024-08-07,Standard Class,CUST-1154,Kiara Mehta,Consumer,West,Office Supplies,Storage,12,0.1,721.23,129.82
156,ORD-1156,2024-03-27,2024-03-27,Same Day,CUST-1155,Kiara Patel,Consumer,West,Furniture,Tables,6,0.0,4722.02,566.64
157,ORD-1157,2024-12-28,2024-12-30,First Class,CUST-1156,Riya Reddy,Corporate,South,Office Supplies,Paper,9,0.15,575.51,92.08
158,ORD-1158,2024-11-26,2024-11-26,Same Day,CUST-1157,Arjun Chopra,Home Office,North,Technology,Copiers,3,0.15,3584.97,322.65
159,ORD-1159,2024-10-04,2024-10-08,Second Class,CUST-1158,Diya Iyer,Consumer,South,Office Supplies,Binders,8,0.15,40.37,6.46
160,ORD-1160,2024-02-12,2024-02-16,Standard Class,CUST-1159,Navya Mehta,Consumer,South,Furniture,Bookcases,3,0.15,1559.24,93.55
161,ORD-1161,2024-10-03,2024-10-09,Standard Class,CUST-1160,Aadhya Singh,Consumer,South,Furniture,Tables,12,0.2,9314.05,372.56
162,ORD-1162,2023-09-14,2023-09-19,Standard Class,CUST-1161,Krishna Nair,Consumer,East,Office Supplies,Binders,11,0.0,175.41,38.59
163,ORD-1163,2023-01-10,2023-01-15,Standard Class,CUST-1162,Krishna Nair,Corporate,South,Furniture,Furnishings,2,0.2,1276.94,51.08
164,ORD-1164,2024-10-18,2024-10-23,Standard Class,CUST-1163,Diya Chopra,Corporate,North,Office Supplies,Binders,4,0.15,85.6,13.7
165,ORD-1165,2023-12-26,2024-01-01,Standard Class,CUST-1164,Ira Mehta,Corporate,South,Furniture,Bookcases,12,0.2,6522.39,260.9
166,ORD-1166,2024-02-06,2024-02-12,Standard Class,CUST-1165,Myra Joshi,Consumer,North,Technology,Accessories,10,0.0,674.97,101.25
167,ORD-1167,2024-08-05,2024-08-09,Second Class,CUST-1166,Aarav Mehta,Home Office,East,Furniture,Furnishings,2,0.3,166.19,-0.0
168,ORD-1168,2024-10-05,2024-10-10,Standard Class,CUST-1167,Ira Gupta,Consumer,West,Office Supplies,Art,5,0.3,64.1,6.41
169,ORD-1169,2024-02-05,2024-02-11,Standard Class,CUST-1168,Krishna Sharma,Consumer,West,Office Supplies,Binders,4,0.1,213.27,38.39
170,ORD-1170,2023-05-03,2023-05-07,Standard Class,CUST-1169,Ishaan Gupta,Home Office,North,Furniture,Furnishings,6,0.2,1038.23,41.53
171,ORD-1171,2023-10-06,2023-10-10,Standard Class,CUST-1170,Vivaan Iyer,Consumer,North,Technology,Phones,10,0.2,11010.47,770.73
172,ORD-1172,2023-01-13,2023-01-13,Same Day,CUST-1171,Vivaan Kumar,Consumer,South,Office Supplies,Paper,12,0.0,638.73,140.52
173,ORD-1173,2024-08-08,2024-08-12,Standard Class,CUST-1172,Vivaan Nair,Consumer,South,Technology,Accessories,2,0.0,2343.23,351.48
174,ORD-1174,2023-01-09,2023-01-16,Standard Class,CUST-1173,Myra Malhotra,Consumer,South,Technology,Accessories,4,0.0,4816.65,722.5
175,ORD-1175,2024-07-08,2024-07-12,Second Class,CUST-1174,Rohan Verma,Consumer,West,Technology,Machines,4,0.0,3053.77,458.07
176,ORD-1176,2023-04-06,2023-04-10,Standard Class,CUST-1175,Aditya Mehta,Corporate,North,Technology,Copiers,2,0.1,1206.31,132.69
177,ORD-1177,2023-08-31,2023-09-02,Second Class,CUST-1176,Ananya Iyer,Corporate,West,Technology,Copiers,5,0.15,1181.15,106.3
178,ORD-1178,2023-06-18,2023-06-22,Standard Class,CUST-1177,Rohan Iyer,Home Office,South,Furniture,Bookcases,5,0.0,3895.18,467.42
179,ORD-1179,2023-06-01,2023-06-05,Standard Class,CUST-1178,Sai Sharma,Consumer,North,Office Supplies,Labels,7,0.0,482.54,106.16
180,ORD-1180,2023-01-13,2023-01-20,Standard Class,CUST-1179,Aditya Mehta,Home Office,West,Furniture,Tables,10,0.0,2922.33,350.68
181,ORD-1181,2023-12-06,2023-12-13,Standard Class,CUST-1180,Aarav Nair,Home Office,West,Furniture,Furnishings,11,0.0,4728.51,567.42
182,ORD-1182,2024-09-20,2024-09-24,Standard Class,CUST-1181,Aditya Patel,Home Office,North,Office Supplies,Art,7,0.1,189.7,34.15
183,ORD-1183,2024-05-06,2024-05-13,Standard Class,CUST-1182,Ananya Mehta,Consumer,South,Technology,Machines,4,0.2,1719.64,120.37
